"lhs","rhs","support","confidence","lift"
"Young","ALT_Normal",0.0959349593495935,0.86764705882353,1.02615950226244
"Young","ALT_Normal,  AST_Normal",0.0878048780487805,0.794117647058823,1.05710466004584
"Young, ALT_Normal"," AST_Normal",0.0878048780487805,0.915254237288136,1.08246414602347
"Young,  AST_Normal","ALT_Normal",0.0878048780487805,0.947368421052632,1.12044534412955
"Young"," AST_Normal",0.0926829268292683,0.838235294117647,0.99137443438914
"Middle","ALT_Normal",0.39349593495935,0.820338983050847,0.970208604954368
"Middle","ALT_Normal,  AST_Normal",0.359349593495935,0.749152542372881,0.997248514197667
"Middle, ALT_Normal"," AST_Normal",0.359349593495935,0.913223140495868,1.08006198347107
"Middle,  AST_Normal","ALT_Normal",0.359349593495935,0.86328125,1.02099609375
"ALT_Mild_Elevation","Middle",0.0715447154471545,0.578947368421053,1.20695807314897
"Middle, ALT_Mild_Elevation"," AST_Normal",0.056910569105691,0.795454545454545,0.940777972027972
"ALT_Mild_Elevation,  AST_Normal","Middle",0.056910569105691,0.603448275862069,1.25803623611923
"Middle"," AST_Normal",0.416260162601626,0.867796610169492,1.02633637548892
" AST_Mild_Elevation","Middle",0.0504065040650407,0.525423728813559,1.09537489227234
"Senior","ALT_Normal",0.313821138211382,0.873303167420814,1.03284893839192
"Senior","ALT_Normal,  AST_Normal",0.268292682926829,0.746606334841629,0.993859082094376
"Senior, ALT_Normal"," AST_Normal",0.268292682926829,0.854922279792746,1.01111000398565
"Senior,  AST_Normal","ALT_Normal",0.268292682926829,0.901639344262295,1.06636191677175
"Senior"," AST_Normal",0.297560975609756,0.828054298642534,0.979333449356074
"ALT_Normal"," AST_Normal",0.751219512195122,0.888461538461538,1.05077662721893
" AST_Normal","ALT_Normal",0.751219512195122,0.888461538461538,1.05077662721893
" AST_Mild_Elevation","ALT_Normal",0.0552845528455285,0.576271186440678,0.68155149934811
"ALT_Mild_Elevation"," AST_Normal",0.0943089430894309,0.763157894736842,0.902580971659919
